isbn,title,image URL,description
116050797X 9791160507973,아이 마음에 상처 주지 않는 습관 (내 아이를 위한 따뜻한 심리학 공부),https://bookthumb-phinf.pstatic.net/cover/149/662/14966278.jpg?type=m1&udate=20190625,"아이 마음에 상처 주지 않는 습관은 아이 마음을 이해하려는 노력에서부터 시작된다!온오프라인 육아상담 플랫폼 그로잉맘 대표 이다랑이 직접 아이를 키워본 경험과 오랜 육아상담 경험에 심리학 이론을 탄탄하게 결합해 아이의 마음이 어떻게 자라나는지를 안내하고, 그 과정에서 나타나는 문제 행동처럼... "
1160500797 9791160500790,직장인을 위한 실무 엑셀 ([최신개정판] 실전! 비즈니스 엑셀 완전 정복),https://bookthumb-phinf.pstatic.net/cover/114/816/11481604.jpg?type=m1&udate=20190320,"현장감 100%! 업무 시간은 줄이고 효율은 높인다!
현장감 100%! 업무 시간은 줄이고 효율은 높인다!
『직장인을 위한 실무 엑셀』은 엑셀 모든 버전에서 사용 가능한 실무 예제로, 업무를 빠르게 처리할 수 있는 필수 팁만 쏙쏙 뽑아 알려주는 책이다. 실무에서 가장 유용한 함수와 분석 기능 뿐만 아니라 분석... "
1187345814 9791187345817,"유튜브로 돈 벌기 (대한민국 TOP 크리에이터, '유튜브 스타'가 직접 알려주는)",https://bookthumb-phinf.pstatic.net/cover/110/212/11021275.jpg?type=m1&udate=20190710,"유튜브 스타도 되고 수익도 얻는 일석이조 유튜브 운영!'유튜브 스타'가 직접 알려주는 유튜브로 돈 버는 방법 『유튜브로 돈 벌기』. 내가 좋아하는 나만의 콘텐츠를 기획하고, 영상으로 만들어 유튜브에 올려보자. 취미생활뿐만 아니라 경제활동도 동시에 할 수 있는 생산적인 활동이 될 것이다.

책에는 인기... "
1160507112 9791160507119,"부동산 상식사전 (전ㆍ월세, 내집, 상가, 토지, 경매까지 처음 만나는 부동산의 모든 것)",https://bookthumb-phinf.pstatic.net/cover/144/775/14477599.jpg?type=m1&udate=20190314,"처음 만나는 부동산의 모든 것!

부동산 시장의 변화와 함께 법 개정 정보까지 꼼꼼하게 반영한 『부동산 상식사전』. 왕초보 딱지를 떼는 핵심 부동산 강의로 시작해 전·월세부터 내 집, 상가, 토지, 경매까지 국내 최초로 부동산 전 분야를 체계적으로 정리했다. 각 부동산의 거래 절차와 방법을 상세히 설명하고... "
1160505829 9791160505825,"시나공 컴퓨터활용능력 1급 실기 (2019,컴활 함수 사전+자동 채점 프로그램+계산문제회+최신기출문제)",https://bookthumb-phinf.pstatic.net/cover/140/518/14051842.jpg?type=m1&udate=20181005,"엑셀, 액세스의 방대한 기능 중 시험에 꼭 나오는 기능을 26개 섹션으로 압축하고, 쉽게 익힐 수 있도록 따라하기 형식으로 구성하였습니다. 각 섹션마다 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요한 내용을 먼저 볼 수 있습니다.

&lt;계산문제! 반복이 해답입니다&gt; 자주 틀리는 계산문제는 컴퓨터... "
1160508070 9791160508079,월급쟁이 재테크 상식사전,https://bookthumb-phinf.pstatic.net/cover/150/019/15001995.jpg?type=m1&udate=20190629,"《월급쟁이 재테크 상식사전》4차 개정판

 예 · 적금, 펀드, 주식, 부동산, P2P, 앱테크까지
꼼꼼하게 모으고 안전하게 불리는 비법 152

읽기만 해도 알아서 재테크가 시작된다!
퇴근길 5분, 당신의 첫 돈 공부

12년 연속 부동의 베스트셀러! 
40만 왕초보의 재테크 입문서 최신개정판!
재테크를 시작하려는... "
1160505837 9791160505832,"시나공 컴퓨터활용능력 2급 실기 (2019,컴활 함수 사전+자동 채점 프로그램+계산문제+최신기출문제)",https://bookthumb-phinf.pstatic.net/cover/140/518/14051843.jpg?type=m1&udate=20181005,"엑셀의 방대한 기능 중 시험에 꼭 나오는 기능을 16개 섹션으로 압축하고, 쉽게 익힐 수 있도록 따라하기 형식으로 구성하였습니다. 각 섹션마다 출제된 비율에 따라 A, B, C, D 등급을 지정하여 중요한 내용을 먼저 볼 수 있습니다.

&lt;계산문제! 반복이 해답입니다&gt; 자주 틀리는 계산문제는 컴퓨터 없이도... "
8955824890 9788955824896,틀리면 어떡해?,https://bookthumb-phinf.pstatic.net/cover/146/301/14630199.jpg?type=m1&udate=20190628,“틀려도 괜찮아. 자신 있게 최선을 다 하는 거야!” &#x0D;&#x0D;초등학교에 입학하고 왠지 어려운 시험이 엄청 많아진 것만 같은 그린이. 하지만 시험에 자신이 없는 그린이에게는 유치원 때부터 기다려 온 시험이 하나 있었어요. 바로 국기원 심사위원들 앞에서 보는 태권도 승품 시험이었지요. 받아쓰기... 
1160505586 9791160505580,"시나공 총정리 컴퓨터활용능력 2급 필기 (핵심요약+기출문제+모의고사,2019)",https://bookthumb-phinf.pstatic.net/cover/139/993/13999335.jpg?type=m1&udate=20181226,합격에 꼭 필요한 핵심 개념을 짧게 공부하고 기출문제로 바로 확인시켜 지루하지 않게 학습할 수 있다. 〈핵심요약 & 대표기출문제 풀이〉 이론은 시험에 꼭 나오는 내용만 엄선하여 문제가 출제될 수 있는 최소 단위로 정리했다. 그리고 학습한 내용이 어떻게 문제로 출제되는지 핵심요약 바로... 
1160506892 9791160506891,초등 자존감의 힘 (소극적인 아이도 당당하게 만드는),https://bookthumb-phinf.pstatic.net/cover/144/363/14436347.jpg?type=m1&udate=20190220,"자존감은 성장입니다!&#x0D;그리고 초등 저학년, 자존감의 틀이 만들어지기 시작합니다. &#x0D;&#x0D;초등 시기 아이의 세상이 넓어지면서 타인과 함께하게 되고 서서히 자신에 대해 자각하며 스스로를 발견하게 된다. 이때 자신을 어떤 사람으로 자기매김하는지가 자존감에 결정적인 영향을 미친다. 그런데도... "
