isbn,title,image URL,description
1187345814 9791187345817,"유튜브로 돈 벌기 (대한민국 TOP 크리에이터, '유튜브 스타'가 직접 알려주는)",https://bookthumb-phinf.pstatic.net/cover/110/212/11021275.jpg?type=m1&udate=20190710,"유튜브 스타도 되고 수익도 얻는 일석이조 유튜브 운영!'유튜브 스타'가 직접 알려주는 유튜브로 돈 버는 방법 『유튜브로 돈 벌기』. 내가 좋아하는 나만의 콘텐츠를 기획하고, 영상으로 만들어 유튜브에 올려보자. 취미생활뿐만 아니라 경제활동도 동시에 할 수 있는 생산적인 활동이 될 것이다.

책에는 인기... "
1160507112 9791160507119,"부동산 상식사전 (전ㆍ월세, 내집, 상가, 토지, 경매까지 처음 만나는 부동산의 모든 것)",https://bookthumb-phinf.pstatic.net/cover/144/775/14477599.jpg?type=m1&udate=20190314,"처음 만나는 부동산의 모든 것!

부동산 시장의 변화와 함께 법 개정 정보까지 꼼꼼하게 반영한 『부동산 상식사전』. 왕초보 딱지를 떼는 핵심 부동산 강의로 시작해 전·월세부터 내 집, 상가, 토지, 경매까지 국내 최초로 부동산 전 분야를 체계적으로 정리했다. 각 부동산의 거래 절차와 방법을 상세히 설명하고... "
1160508070 9791160508079,월급쟁이 재테크 상식사전,https://bookthumb-phinf.pstatic.net/cover/150/019/15001995.jpg?type=m1&udate=20190629,"《월급쟁이 재테크 상식사전》4차 개정판

 예 · 적금, 펀드, 주식, 부동산, P2P, 앱테크까지
꼼꼼하게 모으고 안전하게 불리는 비법 152

읽기만 해도 알아서 재테크가 시작된다!
퇴근길 5분, 당신의 첫 돈 공부

12년 연속 부동의 베스트셀러! 
40만 왕초보의 재테크 입문서 최신개정판!
재테크를 시작하려는... "
1160507813 9791160507812,모두의 데이터 분석 with 파이썬 (실생활 예제로 시작하는 데이터 분석 첫걸음),https://bookthumb-phinf.pstatic.net/cover/148/205/14820571.jpg?type=m1&udate=20190629,"초보자와 비전공자를 위한 가장 쉬운 데이터 분석 입문서!

“서울이 가장 더웠던 날은 언제였을까?”
“우리 동네에는 남성과 여성 중 어떤 성별이 더 많이 살고 있을까?”
”출근 시간대 사람들이 가장 많이 타고 내리는 역은 어디일까?“

데이터 분석의 시작은 관심 있는 데이터에 호기심을 가지는... "
1160505748 9791160505740,시골 카페에서 경영을 찾다,https://bookthumb-phinf.pstatic.net/cover/140/939/14093927.jpg?type=m1&udate=20181026,"고객을 사로잡는 경영 철학, 전략, 마케팅을 사자 커피의 성공사례로 배운다!50년 동안 성공적 운영과 함께, 일본이 사랑한 3대 카페로 성장한 사자 커피(SAZA COFFEE). 변하지 않는 가치는 지키고, 시대에 맞는 가치는 새롭게 만드는 그들의 이야기를 담은 『시골 카페에서 경영을 찾다』. 진입 장벽이 낮고, 운영이... "
1160507317 9791160507317,경제 상식사전,https://bookthumb-phinf.pstatic.net/cover/146/204/14620474.jpg?type=m1&udate=20190325,"알쏭달쏭 경제용어 설명은 기본! 최신 경제이슈까지 OK!
25년차 경제기자가 찍어주는 알토란 경제지식!
경제공부가 어려운 이유는 익숙하지 않은 용어 때문이다. 빨리 경제고수가 되고 싶은 마음에 무턱대고 두꺼운 재테크 책, 대학교수가 쓴 학술서를 골랐다가 지레 포기하게 되는 이유도 바로 이 때문이다. 먼저... "
1160508453 9791160508451,나는 오르는 주식만 산다 (확실히 수익 내는 세력주 투자의 모든 것),https://bookthumb-phinf.pstatic.net/cover/152/025/15202576.jpg?type=m1&udate=20190724,"비자발적 장기투자에서 벗어나 세력주에 올라타자!&#x0D;패턴을 알면, 세력이 보이고, 세력이 있는 곳에 수익이 있다!&#x0D;&#x0D;평범한 직장인에서 전업 투자자로, 길 잃은 개인 투자자의 멘토로 활동하고 있는 저자 와조스키는 주식 대표 유튜버다. 저자는 모의투자와 실전투자를 통해 무조건 수익이 나는 필승... "
1160505365 9791160505368,SNS 마케팅 디자인 무작정 따라하기 (포토샵으로 1시간 만에 완성하는),https://bookthumb-phinf.pstatic.net/cover/138/833/13883310.jpg?type=m1&udate=20190509,"내가 기획한 광고는 내가 디자인한다!
내가 기획한 광고는 내가 디자인한다!
포토샵을 못해 늘 바쁜 디자이너만 바라보며 시안 언제 나오나 오매불망 기다렸던 웹마케터. 그렇게 기다려 시안을 받았는데 꼭 수정하고 싶은 부분이 생긴다. 하지만 디자이너는 바쁘고... 일정은 촉박하고... 마음이 타들어갔던... "
1160505012 9791160505016,하루 만에 수익 내는 실전 주식투자 (실전투자대회 6관왕의 투자법 대공개),https://bookthumb-phinf.pstatic.net/cover/137/188/13718884.jpg?type=m1&udate=20190130,"실전투자대회 6관왕의 투자법 대공개&#x0D;하루 만에 수익 내는 &#x0D;실전 주식투자&#x0D;&#x0D;차트 보기, 급등주 찾기, 테마주 올라타기, 손절하기까지!&#x0D;따라하면 누구나 무조건 돈 버는 고수의 비법&#x0D;이미 선진국형 주식 시장에 올라온 우리나라에서 사두면 언젠가는 오르는 저평가주를 찾기란... "
1160500843 9791160500844,주식투자 무작정 따라하기,https://bookthumb-phinf.pstatic.net/cover/114/811/11481151.jpg?type=m1&udate=20190524,"최신 이슈와 제도, 데이터까지 반영한 주식투자입문서!『주식투자 무작정 따라하기』는 글로벌 악재와 급변하는 시장환경에 따라 등락을 거듭하는 주식시장에서 HTS를 이용해 제대로 된 종목과 매매시점을 선정하는 법과 주식시장의 변화를 이해하기 위한 경제 흐름 읽는 법까지 알려주는 책이다. 이 책의 저자... "
